sa2_code_2021,sa2_name_2021,state_name_2021,area_albers_sqkm,median_equivalised_household_income_weekly_2021,median_total_income_excl_gov_allowances_2020,mean_total_income_excl_gov_allowances_2020,gini_total_income_excl_gov_allowances_2020,income_share_top_1pct_2020,income_share_top_5pct_2020,income_share_top_10pct_2020
123021437,Campbelltown - Woodbine,New South Wales,13.7477,969,52550,58436,0.4,4.7,15.4,25.8
123021438,Claymore - Eagle Vale - Raby,New South Wales,22.9252,992,55330,59950,0.382,5.6,15.7,25.5
123021439,Holsworthy Military Area,New South Wales,129.823,1625,,,,,,
123021441,Leumeah - Minto Heights,New South Wales,23.6461,934,52840,56849,0.387,4.5,14.7,24.9
123021443,Minto - St Andrews,New South Wales,12.4133,942,51915,56081,0.382,4.2,14.5,24.6
123021704,Glenfield,New South Wales,6.9946,1105,,,,,,
125011586,Lidcombe,New South Wales,6.4036,1027,38409,50392,0.465,6.3,19.2,30.8
123021444,Rosemeadow - Glen Alpine,New South Wales,48.0827,930,53430,59899,0.403,5.4,16.1,26.4
123021703,Denham Court - Bardia,New South Wales,15.5853,1263,,,,,,
123021705,Ingleburn,New South Wales,14.1156,961,,,,,,
123021706,Macquarie Fields,New South Wales,9.0236,787,,,,,,
123031445,Bargo,New South Wales,67.7705,1025,54354,62209,0.417,5.2,16.1,26.6
123031446,Douglas Park - Appin,New South Wales,289.946,1298,61453,72999,0.43,6,17.4,28.1
123031447,Picton - Tahmoor - Buxton,New South Wales,189.9087,1075,55890,64822,0.41,5,16,26.7
123031448,The Oaks - Oakdale,New South Wales,322.7354,1200,56079,69274,0.464,8.6,20.6,31.5
124011449,Blackheath - Megalong Valley,New South Wales,139.2166,901,42326,54925,0.496,5.8,19,31
124011450,Blaxland - Warrimoo - Lapstone,New South Wales,29.6935,1310,61436,73774,0.46,6.5,18.8,29.9
124011451,Blue Mountains - North,New South Wales,595.0366,612,19249,14975,,,,
124011452,Katoomba - Leura,New South Wales,40.8734,864,42797,55865,0.496,8,21.3,32.9
124011455,Wentworth Falls,New South Wales,21.0358,980,46276,62840,0.519,8.9,22.2,33.9
124021456,Blue Mountains - South,New South Wales,2456.9093,900,,,,,,
124011453,Lawson - Hazelbrook - Linden,New South Wales,46.8873,1061,53579,61669,0.435,5.3,16.4,27.1
124011454,Springwood - Winmalee,New South Wales,69.6647,1182,58170,68209,0.436,5.8,17.1,27.9
124031462,Kingswood - Werrington,New South Wales,14.023,1037,55904,61451,0.384,4.9,15,25.1
124031463,Mulgoa - Luddenham - Orchard Hills,New South Wales,158.6777,1364,63094,78939,0.454,9.1,21.4,31.9
124031457,Cambridge Park,New South Wales,6.5871,1049,56701,60727,0.364,3.8,13.6,23.5
124031464,Penrith,New South Wales,10.3945,995,54266,60492,0.398,5.7,16.2,26.3
125011587,Regents Park,New South Wales,2.0325,801,43053,50170,0.435,5.2,16.9,28.1
124031459,Emu Plains - Leonay,New South Wales,13.794,1222,61474,71784,0.426,7.1,18.4,28.7
124031460,Glenmore Park - Regentville,New South Wales,9.233,1318,62939,71271,0.395,6,16.4,26.4
124031461,Jamisontown - South Penrith,New South Wales,9.0181,1071,56918,62378,0.391,4.2,14.5,24.7
124031465,Warragamba - Silverdale,New South Wales,63.6142,1235,60645,67171,0.383,4.3,14.8,25
124031707,Cranebrook - Castlereagh,New South Wales,48.9014,1175,,,,,,
124051580,Colyton - Oxley Park,New South Wales,4.6521,924,53850,56832,0.362,3.7,13.4,23.2
124051581,St Marys - North St Marys,New South Wales,12.8646,882,52958,55124,0.364,3.8,13.6,23.4
125011475,Rookwood Cemetery,New South Wales,3.015,1074,,,,,,
124031708,Jordan Springs - Llandilo,New South Wales,22.616,1296,,,,,,
124041466,Richmond - Clarendon,New South Wales,74.6728,1009,53506,60812,0.419,5.8,16.8,27.1
124041467,Windsor - Bligh Park,New South Wales,22.73,1068,55945,62380,0.387,4.6,15.2,25.3
125031484,Guildford West - Merrylands West,New South Wales,5.4654,819,46102,53082,0.418,4.8,16,26.7
124041468,Yarramundi - Londonderry,New South Wales,81.4358,1146,53387,64817,0.436,6.9,18.8,29.6
125011582,Auburn - Central,New South Wales,3.7326,802,32372,41004,0.434,5.4,17.6,28.9
124051469,Erskine Park,New South Wales,8.3944,1232,59719,65907,0.374,4.7,14.9,24.8
124051470,St Clair,New South Wales,7.2035,1114,57491,61482,0.367,3.9,13.7,23.6
125011709,Silverwater - Newington,New South Wales,3.934,1344,,,,,,
125011710,Wentworth Point - Sydney Olympic Park,New South Wales,7.3279,1428,,,,,,
125031713,Greystanes - South,New South Wales,5.6504,1026,,,,,,
125021477,Ermington - Rydalmere,New South Wales,9.8655,1120,53677,64602,0.447,6.6,18.4,29.4
125021478,Oatlands - Dundas Valley,New South Wales,6.0763,1046,50405,69762,0.515,13.4,25.8,36.7
